"","PP","KRV","OKEE","SJM","EVER","EAST"
"PP",0.0111918058734581,0.00265105335334657,0.00220720489259703,0.00245315778088035,0.00194842205766128,0.00213066083824645
"KRV",0.00196601874476203,0.0128223914902448,0.00271292838210443,0.00771377221972049,0.00192632612567707,0.00218664463197592
"OKEE",0.00174096751441329,0.00245540930402875,0.0133441023527257,0.00294543198922925,0.0021495204912081,0.00678917880468759
"SJM",0.00187392929273409,0.00715487325907541,0.00305244729795608,0.0132050339613706,0.00190854650547987,0.00262208987346043
"EVER",0.00177258975767302,0.00219296925978695,0.00320701951694345,0.00223054573401451,0.0114340731535963,0.00297668288033139
"EAST",0.00173533706158867,0.00216008704405522,0.00738379859090464,0.00275043543991553,0.0021923838731419,0.0129484461088462
