"","PP","KRV","OKEE","SJM","EVER","EAST"
"PP",0.786944165428047,0.0590709934767112,0.0391373400515951,0.0505851725029277,0.0285280039565754,0.0357343245841431
"KRV",0.0449698272430753,0.599088335685389,0.086075804800434,0.163965962273645,0.0405543098266516,0.0653457601708046
"OKEE",0.0283874590497247,0.0820104817147291,0.570793652329421,0.0952805754774613,0.0689852811299429,0.154542550298721
"SJM",0.0372869641487628,0.158759801712357,0.0968284425323128,0.580066399530325,0.0411090412448682,0.0859493508313742
"EVER",0.0257434224863669,0.0480712005705266,0.0858254563939876,0.0503267002855977,0.71013156597401,0.0799016542895111
"EAST",0.0269341923580868,0.0646977012062888,0.160594711420044,0.0878875161105241,0.0667389320023971,0.593146946902659
