"","PP","KRV","OKEE","SJM","EVER","EAST"
"PP",0.00670366265284879,0.00139264272643747,0.00136791732087889,0.00139333408612993,0.00127908399423794,0.00134838275167984
"KRV",0.00126867694551273,0.00626058453416246,0.0013158065723458,0.00477783743997092,0.00127914831340734,0.00118229076827753
"OKEE",0.00123616115612105,0.0012240804798225,0.00683561235608495,0.0015010067889411,0.00114204697253549,0.00429427833335072
"SJM",0.00127599445655848,0.00450419636271883,0.00154531948804042,0.00667017939832774,0.00127221849592846,0.00129418100870308
"EVER",0.00121420212144746,0.00131505966916814,0.00141824594904434,0.00131178321358821,0.0059751180883221,0.00134919114778725
"EAST",0.00122881753459958,0.00117905414220237,0.00458157743286656,0.00134206012905036,0.00117502850187353,0.00638860267160427
