"MU","month","year","prcp","tmin","tmid","tmidC","tmax"
"EAST",1,1994,111.831680297852,287.402862548828,292.263046264648,19.1130462646485,297.123229980469
"EAST",2,1994,110.280990600586,289.806121826172,294.642349243164,21.4923492431641,299.478576660156
"EAST",3,1994,79.7167663574219,289.013214111328,294.757034301758,21.6070343017578,300.500854492188
"EAST",4,1994,133.576858520508,293.146423339844,297.530349731445,24.3803497314453,301.914276123047
"EAST",5,1994,99.720458984375,293.619293212891,298.824600219727,25.6746002197266,304.029907226562
"EAST",6,1994,195.42268371582,296.000427246094,300.580688476562,27.4306884765625,305.160949707031
"EAST",7,1994,145.739898681641,296.198944091797,300.774490356445,27.6244903564453,305.350036621094
"EAST",8,1994,225.220642089844,295.80029296875,300.262191772461,27.112191772461,304.724090576172
"EAST",9,1994,296.208282470703,295.660919189453,299.70964050293,26.5596405029297,303.758361816406
"EAST",10,1994,164.615798950195,293.920196533203,298.407287597656,25.2572875976563,302.894378662109
"EAST",11,1994,255.808670043945,292.5361328125,296.826171875,23.676171875,301.1162109375
"EAST",12,1994,184.623672485352,288.736145019531,293.543334960938,20.3933349609375,298.350524902344
"EAST",1,1995,78.1845855712891,284.404235839844,290.347045898438,17.1970458984375,296.289855957031
"EAST",2,1995,55.305046081543,285.279998779297,291.372711181641,18.2227111816406,297.465423583984
"EAST",3,1995,80.2042236328125,289.646209716797,294.827835083008,21.6778350830078,300.009460449219
"EAST",4,1995,80.553092956543,291.656066894531,296.656387329102,23.5063873291016,301.656707763672
"EAST",5,1995,81.4475402832031,294.50244140625,299.758193969727,26.6081939697266,305.013946533203
"EAST",6,1995,261.438934326172,295.244140625,299.911148071289,26.7611480712891,304.578155517578
"EAST",7,1995,253.701736450195,296.150970458984,300.839218139648,27.6892181396485,305.527465820312
"EAST",8,1995,372.362457275391,296.660522460938,301.168212890625,28.018212890625,305.675903320312
"EAST",9,1995,205.767318725586,296.274291992188,300.842819213867,27.6928192138672,305.411346435547
"EAST",10,1995,295.648864746094,295.382934570312,299.488021850586,26.338021850586,303.593109130859
"EAST",11,1995,30.2127285003662,288.482513427734,294.206298828125,21.056298828125,299.930084228516
"EAST",12,1995,23.2757892608643,285.660919189453,291.331848144531,18.1818481445313,297.002777099609
"EAST",1,1996,88.0951690673828,285.278198242188,291.192031860352,18.0420318603516,297.105865478516
"EAST",2,1996,20.4307060241699,283.707244873047,290.734237670898,17.5842376708985,297.76123046875
"EAST",3,1996,168.985046386719,286.758239746094,292.476638793945,19.3266387939453,298.195037841797
"EAST",4,1996,61.1173820495605,290.486602783203,295.500183105469,22.3501831054688,300.513763427734
"EAST",5,1996,194.352844238281,294.525817871094,298.953628540039,25.8036285400391,303.381439208984
"EAST",6,1996,231.922485351562,295.28271484375,299.866455078125,26.716455078125,304.4501953125
"EAST",7,1996,96.8405151367188,297.093811035156,301.50227355957,28.3522735595703,305.910736083984
"EAST",8,1996,107.475410461426,296.190185546875,300.785995483398,27.6359954833985,305.381805419922
"EAST",9,1996,157.497817993164,296.015563964844,300.835922241211,27.685922241211,305.656280517578
"EAST",10,1996,173.695556640625,293.752380371094,297.972671508789,24.8226715087891,302.192962646484
"EAST",11,1996,39.3161392211914,290.390869140625,295.240524291992,22.0905242919922,300.090179443359
"EAST",12,1996,36.3263511657715,287.053253173828,292.811279296875,19.661279296875,298.569305419922
"EAST",1,1997,88.7609786987305,286.242889404297,292.062393188477,18.9123931884766,297.881896972656
