"","PP","KRV","OKEE","SJM","EVER","EAST"
"PP",0.853727787032591,0.0405548383848832,0.0268695074720965,0.0347289485885567,0.0195857310298726,0.0245331874920003
"KRV",0.033370797452011,0.702495144718359,0.0638743447242491,0.121674359264977,0.030094170736217,0.0484911831041867
"OKEE",0.0213252877237045,0.0616080895392137,0.677570689194735,0.0715768777676742,0.0518232704878508,0.116095785286822
"SJM",0.0278980434499972,0.118783814863921,0.0724468767740013,0.68580639106803,0.0307577150626009,0.0643071587814503
"EVER",0.0182318143618702,0.034044626561142,0.0607826635843241,0.0356419997200607,0.794711543062055,0.0565873527105478
"EAST",0.0200383364450019,0.048133401839338,0.119478275640838,0.065386019143412,0.0496520242992403,0.69731194263217
