"","Nest","Year","Pop","Fledglings","TSI","invaded"
"694",694,2008,"KRV",1,4,1
"695",695,2008,"KRV",3,4,1
"696",696,2008,"KRV",1,4,1
"697",697,2008,"KRV",1,4,1
"698",698,2008,"KRV",1,4,1
"699",699,2008,"KRV",3,4,1
"700",700,2008,"KRV",2,4,1
"701",701,2008,"KRV",2,4,1
"702",702,2008,"KRV",1,4,1
"703",703,2008,"KRV",1,4,1
"704",704,2008,"KRV",3,4,1
"705",705,2008,"KRV",1,4,1
"706",706,2008,"KRV",3,4,1
"707",707,2008,"KRV",1,4,1
"708",708,2008,"KRV",1,4,1
"709",709,2008,"KRV",2,4,1
"710",710,2008,"KRV",3,4,1
"711",711,2008,"KRV",1,4,1
"712",712,2008,"KRV",2,4,1
"713",713,2008,"KRV",2,4,1
"714",714,2008,"KRV",2,4,1
"715",715,2008,"KRV",2,4,1
"716",716,2008,"KRV",1,4,1
"717",717,2008,"KRV",3,4,1
"718",718,2008,"KRV",1,4,1
"719",719,2008,"KRV",2,4,1
"720",720,2008,"KRV",1,4,1
"721",721,2008,"KRV",2,4,1
"722",722,2008,"KRV",2,4,1
"723",723,2008,"KRV",3,4,1
"724",724,2008,"KRV",3,4,1
"725",725,2008,"KRV",1,4,1
"726",726,2008,"KRV",1,4,1
"727",727,2008,"KRV",1,4,1
"728",728,2008,"KRV",2,4,1
"729",729,2009,"EVER",2,-1,0
"730",730,2009,"EVER",1,-1,0
"731",731,2009,"EVER",1,-1,0
"732",732,2009,"EVER",1,-1,0
"733",733,2009,"EVER",2,-1,0
"734",734,2009,"KRV",1,5,1
"735",735,2009,"KRV",2,5,1
"736",736,2009,"KRV",2,5,1
"737",737,2009,"KRV",1,5,1
"738",738,2009,"KRV",2,5,1
"739",739,2009,"KRV",2,5,1
"740",740,2009,"KRV",2,5,1
"741",741,2009,"KRV",1,5,1
"742",742,2009,"KRV",2,5,1
"743",743,2009,"KRV",2,5,1
"744",744,2009,"KRV",2,5,1
"745",745,2009,"KRV",1,5,1
"746",746,2009,"KRV",3,5,1
"747",747,2009,"KRV",2,5,1
"748",748,2009,"KRV",2,5,1
"749",749,2009,"KRV",1,5,1
"750",750,2009,"KRV",1,5,1
"751",751,2009,"KRV",1,5,1
"752",752,2009,"KRV",3,5,1
"753",753,2009,"KRV",3,5,1
"754",754,2009,"KRV",2,5,1
"755",755,2009,"KRV",1,5,1
"756",756,2009,"KRV",3,5,1
"757",757,2009,"KRV",1,5,1
"758",758,2009,"KRV",2,5,1
"759",759,2009,"KRV",1,5,1
"760",760,2009,"KRV",2,5,1
"761",761,2009,"KRV",3,5,1
"762",762,2009,"KRV",2,5,1
"763",763,2009,"KRV",2,5,1
"764",764,2009,"KRV",3,5,1
"765",765,2009,"KRV",3,5,1
"766",766,2009,"KRV",1,5,1
"767",767,2009,"KRV",1,5,1
"768",768,2009,"KRV",2,5,1
"769",769,2009,"KRV",2,5,1
"770",770,2010,"EAST",2,-1,0
"771",771,2010,"EAST",1,-1,0
"772",772,2010,"EVER",1,-1,0
"773",773,2010,"EVER",1,-1,0
"774",774,2010,"EVER",1,-1,0
"775",775,2010,"EVER",3,-1,0
"776",776,2010,"EVER",2,-1,0
"777",777,2010,"EVER",3,-1,0
"778",778,2010,"EVER",2,-1,0
"779",779,2010,"EVER",3,-1,0
"780",780,2010,"EVER",1,-1,0
"781",781,2010,"KRV",1,6,1
"782",782,2010,"KRV",2,6,1
"783",783,2010,"KRV",3,6,1
"784",784,2010,"KRV",3,6,1
"785",785,2010,"KRV",2,6,1
"786",786,2010,"KRV",3,6,1
"787",787,2010,"KRV",2,6,1
"788",788,2010,"KRV",2,6,1
"789",789,2010,"KRV",2,6,1
"790",790,2010,"KRV",1,6,1
"791",791,2010,"KRV",2,6,1
"792",792,2010,"KRV",2,6,1
"793",793,2010,"KRV",2,6,1
"794",794,2010,"KRV",2,6,1
"795",795,2010,"KRV",2,6,1
"796",796,2010,"KRV",1,6,1
"797",797,2010,"KRV",3,6,1
"798",798,2010,"KRV",3,6,1
"799",799,2010,"KRV",3,6,1
"800",800,2010,"KRV",1,6,1
"801",801,2010,"KRV",2,6,1
"802",802,2010,"KRV",3,6,1
"803",803,2010,"KRV",2,6,1
"804",804,2010,"KRV",2,6,1
"805",805,2010,"KRV",1,6,1
"806",806,2010,"KRV",3,6,1
"807",807,2010,"KRV",1,6,1
"808",808,2010,"KRV",1,6,1
"809",809,2010,"KRV",2,6,1
"810",810,2010,"KRV",3,6,1
"811",811,2010,"OKEE",1,1,1
"812",812,2010,"SJM",1,-1,0
"813",813,2011,"EVER",2,-1,0
"814",814,2011,"EVER",1,-1,0
"815",815,2011,"EVER",2,-1,0
"816",816,2011,"EVER",1,-1,0
"817",817,2011,"EVER",3,-1,0
"818",818,2011,"KRV",3,7,1
"819",819,2011,"KRV",2,7,1
"820",820,2011,"KRV",1,7,1
"821",821,2011,"KRV",1,7,1
"822",822,2011,"KRV",2,7,1
"823",823,2011,"KRV",3,7,1
"824",824,2011,"KRV",3,7,1
"825",825,2011,"KRV",1,7,1
"826",826,2011,"KRV",2,7,1
"827",827,2011,"KRV",3,7,1
"828",828,2011,"KRV",2,7,1
"829",829,2011,"KRV",2,7,1
"830",830,2011,"KRV",2,7,1
"831",831,2011,"KRV",2,7,1
"832",832,2011,"KRV",3,7,1
"833",833,2011,"KRV",3,7,1
"834",834,2011,"KRV",3,7,1
"835",835,2011,"KRV",2,7,1
"836",836,2011,"KRV",2,7,1
"837",837,2011,"KRV",3,7,1
"838",838,2011,"KRV",2,7,1
"839",839,2011,"KRV",1,7,1
"840",840,2011,"KRV",3,7,1
"841",841,2011,"KRV",1,7,1
"842",842,2011,"KRV",2,7,1
"843",843,2011,"KRV",2,7,1
"844",844,2011,"KRV",3,7,1
"845",845,2011,"KRV",1,7,1
"846",846,2011,"KRV",2,7,1
"847",847,2011,"KRV",3,7,1
"848",848,2011,"KRV",3,7,1
"849",849,2011,"KRV",2,7,1
"850",850,2011,"KRV",2,7,1
"851",851,2011,"KRV",3,7,1
"852",852,2011,"KRV",2,7,1
"853",853,2011,"KRV",2,7,1
"854",854,2011,"KRV",2,7,1
"855",855,2011,"KRV",2,7,1
"856",856,2011,"KRV",1,7,1
"857",857,2011,"KRV",3,7,1
"858",858,2011,"KRV",2,7,1
"859",859,2011,"KRV",3,7,1
"860",860,2011,"KRV",2,7,1
"861",861,2011,"KRV",1,7,1
"862",862,2011,"KRV",2,7,1
"863",863,2011,"KRV",2,7,1
"864",864,2011,"KRV",2,7,1
"865",865,2011,"KRV",1,7,1
"866",866,2011,"KRV",3,7,1
"867",867,2011,"KRV",2,7,1
"868",868,2011,"KRV",2,7,1
"869",869,2011,"KRV",3,7,1
"870",870,2011,"KRV",2,7,1
"871",871,2011,"KRV",3,7,1
"872",872,2011,"KRV",2,7,1
"873",873,2011,"KRV",2,7,1
"874",874,2011,"KRV",2,7,1
"875",875,2011,"KRV",1,7,1
"876",876,2011,"KRV",3,7,1
"877",877,2011,"KRV",2,7,1
"878",878,2011,"KRV",1,7,1
"879",879,2011,"KRV",3,7,1
"880",880,2011,"KRV",2,7,1
"881",881,2011,"KRV",1,7,1
"882",882,2011,"KRV",3,7,1
"883",883,2011,"KRV",3,7,1
"884",884,2011,"KRV",1,7,1
"885",885,2011,"KRV",3,7,1
"886",886,2011,"KRV",3,7,1
"887",887,2011,"KRV",2,7,1
"888",888,2011,"KRV",3,7,1
"889",889,2011,"KRV",3,7,1
"890",890,2011,"KRV",1,7,1
"891",891,2011,"KRV",1,7,1
"892",892,2011,"KRV",1,7,1
"893",893,2011,"KRV",1,7,1
"894",894,2011,"KRV",2,7,1
"895",895,2011,"KRV",2,7,1
"896",896,2011,"KRV",2,7,1
"897",897,2011,"KRV",3,7,1
"898",898,2011,"OKEE",3,2,1
"899",899,2011,"OKEE",1,2,1
"900",900,2011,"OKEE",3,2,1
"901",901,2011,"OKEE",3,2,1
"902",902,2011,"OKEE",2,2,1
"903",903,2011,"OKEE",3,2,1
"904",904,2011,"OKEE",1,2,1
"905",905,2012,"EVER",1,0,1
"906",906,2012,"EVER",3,0,1
"907",907,2012,"KRV",2,8,1
"908",908,2012,"KRV",2,8,1
"909",909,2012,"KRV",3,8,1
"910",910,2012,"KRV",3,8,1
"911",911,2012,"KRV",2,8,1
"912",912,2012,"KRV",3,8,1
"913",913,2012,"KRV",3,8,1
"914",914,2012,"KRV",2,8,1
"915",915,2012,"KRV",2,8,1
"916",916,2012,"KRV",2,8,1
"917",917,2012,"KRV",1,8,1
"918",918,2012,"KRV",3,8,1
"919",919,2012,"KRV",3,8,1
"920",920,2012,"KRV",1,8,1
"921",921,2012,"KRV",2,8,1
"922",922,2012,"KRV",3,8,1
"923",923,2012,"KRV",2,8,1
"924",924,2012,"KRV",2,8,1
"925",925,2012,"KRV",2,8,1
"926",926,2012,"KRV",3,8,1
"927",927,2012,"KRV",3,8,1
"928",928,2012,"KRV",3,8,1
"929",929,2012,"KRV",2,8,1
"930",930,2012,"KRV",1,8,1
"931",931,2012,"KRV",2,8,1
"932",932,2012,"KRV",2,8,1
"933",933,2012,"KRV",1,8,1
"934",934,2012,"KRV",2,8,1
"935",935,2012,"KRV",2,8,1
"936",936,2012,"KRV",2,8,1
"937",937,2012,"KRV",2,8,1
"938",938,2012,"KRV",3,8,1
"939",939,2012,"KRV",2,8,1
"940",940,2012,"KRV",3,8,1
"941",941,2012,"KRV",2,8,1
"942",942,2012,"KRV",2,8,1
"943",943,2012,"KRV",1,8,1
"944",944,2012,"KRV",1,8,1
"945",945,2012,"KRV",2,8,1
"946",946,2012,"KRV",2,8,1
"947",947,2012,"KRV",2,8,1
"948",948,2012,"KRV",1,8,1
"949",949,2012,"KRV",3,8,1
"950",950,2012,"KRV",2,8,1
"951",951,2012,"KRV",2,8,1
"952",952,2012,"KRV",2,8,1
"953",953,2012,"KRV",1,8,1
"954",954,2012,"KRV",2,8,1
"955",955,2012,"KRV",2,8,1
"956",956,2012,"KRV",1,8,1
"957",957,2012,"KRV",2,8,1
"958",958,2012,"KRV",3,8,1
"959",959,2012,"OKEE",2,3,1
"960",960,2012,"OKEE",1,3,1
"961",961,2012,"OKEE",1,3,1
"962",962,2012,"OKEE",1,3,1
"963",963,2012,"OKEE",2,3,1
"964",964,2012,"OKEE",1,3,1
"965",965,2012,"OKEE",1,3,1
"966",966,2012,"OKEE",3,3,1
"967",967,2012,"OKEE",2,3,1
"968",968,2012,"OKEE",1,3,1
"969",969,2012,"OKEE",2,3,1
"970",970,2012,"OKEE",2,3,1
"971",971,2012,"OKEE",3,3,1
"972",972,2012,"OKEE",2,3,1
"973",973,2012,"OKEE",2,3,1
"974",974,2012,"SJM",1,-1,0
"975",975,2013,"EAST",2,-1,0
"976",976,2013,"EVER",2,1,1
"977",977,2013,"EVER",1,1,1
"978",978,2013,"EVER",1,1,1
"979",979,2013,"EVER",1,1,1
"980",980,2013,"EVER",1,1,1
"981",981,2013,"EVER",1,1,1
"982",982,2013,"EVER",1,1,1
"983",983,2013,"EVER",1,1,1
"984",984,2013,"EVER",3,1,1
"985",985,2013,"EVER",1,1,1
"986",986,2013,"EVER",1,1,1
"987",987,2013,"EVER",2,1,1
"988",988,2013,"EVER",1,1,1
"989",989,2013,"EVER",2,1,1
"990",990,2013,"EVER",1,1,1
"991",991,2013,"EVER",1,1,1
"992",992,2013,"EVER",1,1,1
"993",993,2013,"EVER",2,1,1
"994",994,2013,"EVER",1,1,1
"995",995,2013,"EVER",1,1,1
"996",996,2013,"EVER",1,1,1
"997",997,2013,"EVER",2,1,1
"998",998,2013,"EVER",1,1,1
"999",999,2013,"EVER",2,1,1
"1000",1000,2013,"EVER",3,1,1
"1001",1001,2013,"EVER",2,1,1
"1002",1002,2013,"EVER",2,1,1
"1003",1003,2013,"EVER",2,1,1
"1004",1004,2013,"EVER",1,1,1
"1005",1005,2013,"EVER",3,1,1
"1006",1006,2013,"EVER",3,1,1
"1007",1007,2013,"EVER",1,1,1
"1008",1008,2013,"EVER",2,1,1
"1009",1009,2013,"EVER",1,1,1
"1010",1010,2013,"EVER",2,1,1
"1011",1011,2013,"EVER",3,1,1
"1012",1012,2013,"EVER",1,1,1
"1013",1013,2013,"EVER",2,1,1
"1014",1014,2013,"EVER",2,1,1
"1015",1015,2013,"EVER",1,1,1
"1016",1016,2013,"EVER",1,1,1
"1017",1017,2013,"KRV",2,9,1
"1018",1018,2013,"KRV",2,9,1
"1019",1019,2013,"KRV",1,9,1
"1020",1020,2013,"KRV",2,9,1
"1021",1021,2013,"KRV",1,9,1
"1022",1022,2013,"KRV",1,9,1
"1023",1023,2013,"KRV",1,9,1
"1024",1024,2013,"KRV",3,9,1
"1025",1025,2013,"KRV",2,9,1
"1026",1026,2013,"KRV",2,9,1
"1027",1027,2013,"KRV",2,9,1
"1028",1028,2013,"KRV",3,9,1
"1029",1029,2013,"KRV",1,9,1
"1030",1030,2013,"KRV",1,9,1
"1031",1031,2013,"KRV",1,9,1
"1032",1032,2013,"KRV",3,9,1
"1033",1033,2013,"KRV",1,9,1
"1034",1034,2013,"KRV",1,9,1
"1035",1035,2013,"KRV",1,9,1
"1036",1036,2013,"KRV",1,9,1
"1037",1037,2013,"KRV",1,9,1
"1038",1038,2013,"KRV",2,9,1
"1039",1039,2013,"KRV",3,9,1
"1040",1040,2013,"KRV",2,9,1
"1041",1041,2013,"KRV",2,9,1
"1042",1042,2013,"KRV",1,9,1
"1043",1043,2013,"KRV",1,9,1
"1044",1044,2013,"KRV",1,9,1
"1045",1045,2013,"KRV",3,9,1
"1046",1046,2013,"KRV",1,9,1
"1047",1047,2013,"KRV",2,9,1
"1048",1048,2013,"KRV",2,9,1
"1049",1049,2013,"KRV",1,9,1
"1050",1050,2013,"KRV",1,9,1
"1051",1051,2013,"KRV",1,9,1
"1052",1052,2013,"KRV",2,9,1
"1053",1053,2013,"KRV",1,9,1
"1054",1054,2013,"KRV",2,9,1
"1055",1055,2013,"KRV",1,9,1
"1056",1056,2013,"KRV",3,9,1
"1057",1057,2013,"KRV",2,9,1
"1058",1058,2013,"KRV",3,9,1
"1059",1059,2013,"KRV",2,9,1
"1060",1060,2013,"KRV",1,9,1
"1061",1061,2013,"KRV",2,9,1
"1062",1062,2013,"KRV",3,9,1
"1063",1063,2013,"KRV",3,9,1
"1064",1064,2013,"KRV",2,9,1
"1065",1065,2013,"KRV",1,9,1
"1066",1066,2013,"KRV",3,9,1
"1067",1067,2013,"KRV",2,9,1
"1068",1068,2013,"KRV",3,9,1
"1069",1069,2013,"KRV",2,9,1
"1070",1070,2013,"KRV",3,9,1
"1071",1071,2013,"KRV",1,9,1
"1072",1072,2013,"KRV",2,9,1
"1073",1073,2013,"KRV",1,9,1
"1074",1074,2013,"OKEE",1,4,1
"1075",1075,2013,"OKEE",2,4,1
"1076",1076,2013,"OKEE",2,4,1
"1077",1077,2013,"OKEE",1,4,1
"1078",1078,2013,"OKEE",2,4,1
"1079",1079,2013,"OKEE",1,4,1
"1080",1080,2013,"OKEE",2,4,1
"1081",1081,2013,"OKEE",2,4,1
"1082",1082,2013,"OKEE",2,4,1
"1083",1083,2013,"OKEE",2,4,1
"1084",1084,2013,"OKEE",2,4,1
"1085",1085,2013,"OKEE",2,4,1
"1086",1086,2013,"OKEE",1,4,1
"1087",1087,2013,"OKEE",1,4,1
"1088",1088,2013,"OKEE",1,4,1
"1089",1089,2013,"OKEE",1,4,1
"1090",1090,2013,"OKEE",3,4,1
"1091",1091,2013,"OKEE",1,4,1
"1092",1092,2013,"OKEE",3,4,1
"1093",1093,2013,"OKEE",3,4,1
"1094",1094,2013,"OKEE",1,4,1
"1095",1095,2013,"OKEE",1,4,1
"1096",1096,2013,"OKEE",2,4,1
"1097",1097,2013,"OKEE",2,4,1
"1098",1098,2013,"OKEE",2,4,1
"1099",1099,2013,"OKEE",2,4,1
"1100",1100,2013,"OKEE",2,4,1
"1101",1101,2013,"SJM",1,-1,0
"1102",1102,2014,"EAST",1,-1,0
"1103",1103,2014,"EAST",3,-1,0
"1104",1104,2014,"EAST",3,-1,0
"1105",1105,2014,"EAST",2,-1,0
"1106",1106,2014,"EAST",1,-1,0
"1107",1107,2014,"EAST",1,-1,0
"1108",1108,2014,"EAST",1,-1,0
"1109",1109,2014,"EVER",1,2,1
"1110",1110,2014,"EVER",1,2,1
"1111",1111,2014,"EVER",2,2,1
"1112",1112,2014,"EVER",1,2,1
"1113",1113,2014,"EVER",2,2,1
"1114",1114,2014,"EVER",1,2,1
"1115",1115,2014,"EVER",2,2,1
"1116",1116,2014,"EVER",2,2,1
"1117",1117,2014,"EVER",1,2,1
"1118",1118,2014,"EVER",2,2,1
"1119",1119,2014,"EVER",1,2,1
"1120",1120,2014,"EVER",2,2,1
"1121",1121,2014,"EVER",2,2,1
"1122",1122,2014,"EVER",2,2,1
"1123",1123,2014,"EVER",2,2,1
"1124",1124,2014,"EVER",2,2,1
"1125",1125,2014,"EVER",1,2,1
"1126",1126,2014,"EVER",1,2,1
"1127",1127,2014,"EVER",3,2,1
"1128",1128,2014,"EVER",3,2,1
"1129",1129,2014,"EVER",1,2,1
"1130",1130,2014,"EVER",2,2,1
"1131",1131,2014,"EVER",2,2,1
"1132",1132,2014,"EVER",1,2,1
"1133",1133,2014,"EVER",2,2,1
"1134",1134,2014,"EVER",2,2,1
"1135",1135,2014,"EVER",1,2,1
"1136",1136,2014,"EVER",1,2,1
"1137",1137,2014,"EVER",3,2,1
"1138",1138,2014,"EVER",1,2,1
"1139",1139,2014,"EVER",1,2,1
"1140",1140,2014,"EVER",1,2,1
"1141",1141,2014,"EVER",2,2,1
"1142",1142,2014,"EVER",1,2,1
"1143",1143,2014,"EVER",2,2,1
"1144",1144,2014,"EVER",3,2,1
"1145",1145,2014,"EVER",2,2,1
"1146",1146,2014,"EVER",1,2,1
"1147",1147,2014,"EVER",1,2,1
"1148",1148,2014,"EVER",2,2,1
"1149",1149,2014,"EVER",2,2,1
"1150",1150,2014,"EVER",3,2,1
"1151",1151,2014,"EVER",2,2,1
"1152",1152,2014,"EVER",2,2,1
"1153",1153,2014,"EVER",2,2,1
"1154",1154,2014,"EVER",2,2,1
"1155",1155,2014,"EVER",2,2,1
"1156",1156,2014,"EVER",1,2,1
"1157",1157,2014,"EVER",3,2,1
"1158",1158,2014,"EVER",2,2,1
"1159",1159,2014,"EVER",1,2,1
"1160",1160,2014,"EVER",2,2,1
"1161",1161,2014,"EVER",2,2,1
"1162",1162,2014,"EVER",1,2,1
"1163",1163,2014,"EVER",3,2,1
"1164",1164,2014,"EVER",2,2,1
"1165",1165,2014,"EVER",2,2,1
"1166",1166,2014,"EVER",2,2,1
"1167",1167,2014,"EVER",1,2,1
"1168",1168,2014,"EVER",3,2,1
"1169",1169,2014,"EVER",1,2,1
"1170",1170,2014,"EVER",1,2,1
"1171",1171,2014,"EVER",1,2,1
"1172",1172,2014,"EVER",2,2,1
"1173",1173,2014,"EVER",1,2,1
"1174",1174,2014,"EVER",2,2,1
"1175",1175,2014,"EVER",3,2,1
"1176",1176,2014,"KRV",1,10,1
"1177",1177,2014,"KRV",2,10,1
"1178",1178,2014,"KRV",3,10,1
"1179",1179,2014,"KRV",3,10,1
"1180",1180,2014,"KRV",1,10,1
"1181",1181,2014,"KRV",3,10,1
"1182",1182,2014,"KRV",1,10,1
"1183",1183,2014,"KRV",1,10,1
"1184",1184,2014,"KRV",1,10,1
"1185",1185,2014,"KRV",2,10,1
"1186",1186,2014,"KRV",1,10,1
"1187",1187,2014,"KRV",1,10,1
"1188",1188,2014,"KRV",2,10,1
"1189",1189,2014,"KRV",1,10,1
"1190",1190,2014,"KRV",1,10,1
"1191",1191,2014,"KRV",3,10,1
"1192",1192,2014,"KRV",2,10,1
"1193",1193,2014,"KRV",2,10,1
"1194",1194,2014,"KRV",1,10,1
"1195",1195,2014,"KRV",3,10,1
"1196",1196,2014,"KRV",3,10,1
"1197",1197,2014,"OKEE",2,5,1
"1198",1198,2014,"OKEE",1,5,1
"1199",1199,2014,"OKEE",1,5,1
"1200",1200,2014,"OKEE",2,5,1
"1201",1201,2014,"OKEE",1,5,1
"1202",1202,2014,"OKEE",2,5,1
"1203",1203,2014,"OKEE",2,5,1
"1204",1204,2014,"OKEE",1,5,1
"1205",1205,2014,"OKEE",2,5,1
"1206",1206,2014,"OKEE",2,5,1
"1207",1207,2014,"OKEE",2,5,1
"1208",1208,2014,"OKEE",2,5,1
"1209",1209,2014,"OKEE",2,5,1
"1210",1210,2014,"OKEE",1,5,1
"1211",1211,2014,"OKEE",1,5,1
"1212",1212,2014,"OKEE",2,5,1
"1213",1213,2014,"OKEE",2,5,1
"1214",1214,2014,"OKEE",1,5,1
"1215",1215,2014,"OKEE",2,5,1
"1216",1216,2014,"OKEE",2,5,1
"1217",1217,2014,"OKEE",2,5,1
"1218",1218,2014,"OKEE",2,5,1
"1219",1219,2014,"OKEE",3,5,1
"1220",1220,2014,"OKEE",1,5,1
"1221",1221,2014,"OKEE",3,5,1
"1222",1222,2015,"EAST",1,0,1
"1223",1223,2015,"EAST",2,0,1
"1224",1224,2015,"EAST",1,0,1
"1225",1225,2015,"EVER",3,3,1
"1226",1226,2015,"EVER",1,3,1
"1227",1227,2015,"EVER",1,3,1
"1228",1228,2015,"EVER",1,3,1
"1229",1229,2015,"EVER",2,3,1
"1230",1230,2015,"EVER",2,3,1
"1231",1231,2015,"EVER",1,3,1
"1232",1232,2015,"EVER",1,3,1
"1233",1233,2015,"EVER",2,3,1
"1234",1234,2015,"EVER",1,3,1
"1235",1235,2015,"EVER",1,3,1
"1236",1236,2015,"EVER",2,3,1
"1237",1237,2015,"EVER",2,3,1
"1238",1238,2015,"EVER",3,3,1
"1239",1239,2015,"EVER",1,3,1
"1240",1240,2015,"EVER",1,3,1
"1241",1241,2015,"EVER",3,3,1
"1242",1242,2015,"EVER",2,3,1
"1243",1243,2015,"EVER",3,3,1
"1244",1244,2015,"EVER",3,3,1
"1245",1245,2015,"EVER",2,3,1
"1246",1246,2015,"EVER",3,3,1
"1247",1247,2015,"EVER",1,3,1
"1248",1248,2015,"EVER",3,3,1
"1249",1249,2015,"EVER",1,3,1
"1250",1250,2015,"EVER",2,3,1
"1251",1251,2015,"EVER",2,3,1
"1252",1252,2015,"EVER",2,3,1
"1253",1253,2015,"EVER",1,3,1
"1254",1254,2015,"EVER",1,3,1
"1255",1255,2015,"EVER",1,3,1
"1256",1256,2015,"EVER",1,3,1
"1257",1257,2015,"EVER",1,3,1
"1258",1258,2015,"EVER",2,3,1
"1259",1259,2015,"EVER",1,3,1
"1260",1260,2015,"EVER",2,3,1
"1261",1261,2015,"EVER",1,3,1
"1262",1262,2015,"EVER",2,3,1
"1263",1263,2015,"EVER",2,3,1
"1264",1264,2015,"EVER",1,3,1
"1265",1265,2015,"EVER",2,3,1
"1266",1266,2015,"EVER",1,3,1
"1267",1267,2015,"EVER",2,3,1
"1268",1268,2015,"EVER",2,3,1
"1269",1269,2015,"EVER",2,3,1
"1270",1270,2015,"EVER",2,3,1
"1271",1271,2015,"EVER",1,3,1
"1272",1272,2015,"EVER",1,3,1
"1273",1273,2015,"EVER",2,3,1
"1274",1274,2015,"EVER",1,3,1
"1275",1275,2015,"EVER",2,3,1
"1276",1276,2015,"EVER",2,3,1
"1277",1277,2015,"EVER",1,3,1
"1278",1278,2015,"EVER",1,3,1
"1279",1279,2015,"EVER",2,3,1
"1280",1280,2015,"EVER",1,3,1
"1281",1281,2015,"EVER",3,3,1
"1282",1282,2015,"EVER",2,3,1
"1283",1283,2015,"EVER",1,3,1
"1284",1284,2015,"KRV",1,11,1
"1285",1285,2015,"KRV",2,11,1
"1286",1286,2015,"KRV",1,11,1
"1287",1287,2015,"KRV",1,11,1
"1288",1288,2015,"KRV",1,11,1
"1289",1289,2015,"KRV",3,11,1
"1290",1290,2015,"KRV",1,11,1
"1291",1291,2015,"KRV",2,11,1
"1292",1292,2015,"KRV",2,11,1
"1293",1293,2015,"KRV",2,11,1
"1294",1294,2015,"KRV",1,11,1
"1295",1295,2015,"KRV",3,11,1
"1296",1296,2015,"KRV",1,11,1
"1297",1297,2015,"KRV",3,11,1
"1298",1298,2015,"KRV",3,11,1
"1299",1299,2015,"KRV",1,11,1
"1300",1300,2015,"KRV",3,11,1
"1301",1301,2015,"KRV",1,11,1
"1302",1302,2015,"KRV",2,11,1
"1303",1303,2015,"KRV",2,11,1
"1304",1304,2015,"KRV",1,11,1
"1305",1305,2015,"KRV",1,11,1
"1306",1306,2015,"KRV",1,11,1
"1307",1307,2015,"KRV",1,11,1
"1308",1308,2015,"KRV",3,11,1
"1309",1309,2015,"KRV",3,11,1
"1310",1310,2015,"KRV",3,11,1
"1311",1311,2015,"KRV",2,11,1
"1312",1312,2015,"KRV",3,11,1
"1313",1313,2015,"KRV",3,11,1
"1314",1314,2015,"KRV",2,11,1
"1315",1315,2015,"KRV",2,11,1
"1316",1316,2015,"KRV",2,11,1
"1317",1317,2015,"KRV",2,11,1
"1318",1318,2015,"KRV",3,11,1
"1319",1319,2015,"KRV",3,11,1
"1320",1320,2015,"KRV",1,11,1
"1321",1321,2015,"KRV",2,11,1
"1322",1322,2015,"KRV",2,11,1
"1323",1323,2015,"KRV",3,11,1
"1324",1324,2015,"KRV",1,11,1
"1325",1325,2015,"KRV",3,11,1
"1326",1326,2015,"KRV",1,11,1
"1327",1327,2015,"KRV",1,11,1
"1328",1328,2015,"KRV",1,11,1
"1329",1329,2015,"KRV",3,11,1
"1330",1330,2015,"KRV",1,11,1
"1331",1331,2015,"KRV",1,11,1
"1332",1332,2015,"KRV",2,11,1
"1333",1333,2015,"KRV",2,11,1
"1334",1334,2015,"KRV",2,11,1
"1335",1335,2015,"KRV",1,11,1
"1336",1336,2015,"KRV",1,11,1
"1337",1337,2015,"OKEE",1,6,1
"1338",1338,2015,"OKEE",2,6,1
"1339",1339,2015,"OKEE",1,6,1
"1340",1340,2015,"OKEE",2,6,1
"1341",1341,2015,"OKEE",2,6,1
"1342",1342,2015,"OKEE",1,6,1
"1343",1343,2015,"OKEE",1,6,1
"1344",1344,2015,"OKEE",2,6,1
"1345",1345,2015,"OKEE",2,6,1
"1346",1346,2015,"OKEE",1,6,1
"1347",1347,2015,"OKEE",2,6,1
"1348",1348,2015,"OKEE",2,6,1
"1349",1349,2015,"OKEE",1,6,1
"1350",1350,2015,"OKEE",1,6,1
"1351",1351,2015,"OKEE",3,6,1
"1352",1352,2015,"OKEE",2,6,1
"1353",1353,2015,"OKEE",2,6,1
"1354",1354,2015,"OKEE",2,6,1
"1355",1355,2015,"SJM",3,0,1
"1356",1356,2015,"SJM",3,0,1
"1357",1357,2015,"SJM",2,0,1
"1358",1358,2015,"SJM",2,0,1
"1359",1359,2015,"SJM",3,0,1
"1360",1360,2015,"SJM",1,0,1
"1361",1361,2015,"SJM",1,0,1
"1362",1362,2015,"SJM",2,0,1
"1363",1363,2015,"SJM",3,0,1
"1364",1364,2015,"SJM",3,0,1
"1365",1365,2015,"SJM",1,0,1
"1366",1366,2015,"SJM",3,0,1
"1367",1367,2015,"SJM",1,0,1
"1368",1368,2015,"SJM",2,0,1
"1369",1369,2015,"SJM",1,0,1
"1370",1370,2015,"SJM",2,0,1
"1371",1371,2015,"SJM",3,0,1
"1372",1372,2015,"SJM",2,0,1
"1373",1373,2015,"SJM",3,0,1
"1374",1374,2015,"SJM",2,0,1
"1375",1375,2015,"SJM",1,0,1
"1376",1376,2015,"SJM",1,0,1
"1377",1377,2015,"SJM",3,0,1
"1378",1378,2015,"SJM",2,0,1
"1379",1379,2015,"SJM",3,0,1
"1380",1380,2015,"SJM",3,0,1
"1381",1381,2015,"SJM",1,0,1
