"","Nest","Year","Pop","Fledglings","TSI","invaded"
"158",158,1997,"EVER",3,-1,0
"159",159,1997,"EVER",3,-1,0
"160",160,1997,"EVER",3,-1,0
"161",161,1997,"EVER",1,-1,0
"162",162,1997,"EVER",3,-1,0
"163",163,1997,"EVER",3,-1,0
"164",164,1997,"EVER",3,-1,0
"165",165,1997,"EVER",2,-1,0
"166",166,1997,"EVER",1,-1,0
"167",167,1997,"EVER",1,-1,0
"168",168,1997,"EVER",2,-1,0
"169",169,1997,"EVER",3,-1,0
"170",170,1997,"EVER",3,-1,0
"171",171,1997,"EVER",3,-1,0
"172",172,1997,"EVER",2,-1,0
"173",173,1997,"EVER",2,-1,0
"174",174,1997,"EVER",3,-1,0
"175",175,1997,"EVER",1,-1,0
"176",176,1997,"EVER",1,-1,0
"177",177,1997,"EVER",2,-1,0
"178",178,1997,"EVER",2,-1,0
"179",179,1997,"EVER",2,-1,0
"180",180,1997,"EVER",1,-1,0
"181",181,1997,"EVER",2,-1,0
"182",182,1997,"EVER",3,-1,0
"183",183,1997,"EVER",2,-1,0
"184",184,1997,"EVER",2,-1,0
"185",185,1997,"EVER",3,-1,0
"186",186,1997,"EVER",2,-1,0
"187",187,1997,"EVER",2,-1,0
"188",188,1997,"EVER",2,-1,0
"189",189,1997,"EVER",2,-1,0
"190",190,1997,"EVER",1,-1,0
"191",191,1997,"EVER",3,-1,0
"192",192,1997,"EVER",2,-1,0
"193",193,1997,"EVER",2,-1,0
"194",194,1997,"EVER",2,-1,0
"195",195,1997,"EVER",2,-1,0
"196",196,1997,"EVER",2,-1,0
"197",197,1997,"EVER",2,-1,0
"198",198,1997,"EVER",2,-1,0
"199",199,1997,"EVER",3,-1,0
"200",200,1997,"EVER",2,-1,0
"201",201,1997,"EVER",3,-1,0
"202",202,1997,"EVER",2,-1,0
"203",203,1997,"EVER",3,-1,0
"204",204,1997,"EVER",1,-1,0
"205",205,1997,"EVER",2,-1,0
"206",206,1997,"EVER",3,-1,0
"207",207,1997,"EVER",2,-1,0
"208",208,1997,"EVER",2,-1,0
"209",209,1997,"EVER",3,-1,0
"210",210,1997,"EVER",2,-1,0
"211",211,1997,"EVER",3,-1,0
"212",212,1997,"EVER",1,-1,0
"213",213,1997,"EVER",1,-1,0
"214",214,1997,"EVER",2,-1,0
"215",215,1997,"EVER",3,-1,0
"216",216,1997,"EVER",3,-1,0
"217",217,1997,"EVER",3,-1,0
"218",218,1997,"EVER",1,-1,0
"219",219,1997,"EVER",3,-1,0
"220",220,1997,"EVER",2,-1,0
"221",221,1997,"EVER",3,-1,0
"222",222,1997,"EVER",2,-1,0
"223",223,1997,"EVER",3,-1,0
"224",224,1997,"KRV",3,-1,0
"225",225,1997,"KRV",3,-1,0
"226",226,1997,"KRV",2,-1,0
"227",227,1997,"KRV",3,-1,0
"228",228,1997,"KRV",1,-1,0
"229",229,1997,"SJM",1,-1,0
"230",230,1997,"SJM",2,-1,0
"231",231,1997,"SJM",2,-1,0
"232",232,1997,"SJM",1,-1,0
"233",233,1997,"SJM",1,-1,0
"234",234,1998,"EVER",2,-1,0
"235",235,1998,"EVER",2,-1,0
"236",236,1998,"EVER",2,-1,0
"237",237,1998,"EVER",2,-1,0
"238",238,1998,"EVER",1,-1,0
"239",239,1998,"EVER",2,-1,0
"240",240,1998,"EVER",2,-1,0
"241",241,1998,"EVER",2,-1,0
"242",242,1998,"EVER",2,-1,0
"243",243,1998,"EVER",3,-1,0
"244",244,1998,"EVER",3,-1,0
"245",245,1998,"EVER",2,-1,0
"246",246,1998,"EVER",2,-1,0
"247",247,1998,"EVER",1,-1,0
"248",248,1998,"EVER",2,-1,0
"249",249,1998,"EVER",3,-1,0
"250",250,1998,"EVER",2,-1,0
"251",251,1998,"EVER",2,-1,0
"252",252,1998,"EVER",1,-1,0
"253",253,1998,"EVER",1,-1,0
"254",254,1998,"EVER",1,-1,0
"255",255,1998,"EVER",1,-1,0
"256",256,1998,"EVER",2,-1,0
"257",257,1998,"EVER",2,-1,0
"258",258,1998,"EVER",3,-1,0
"259",259,1998,"EVER",3,-1,0
"260",260,1998,"EVER",3,-1,0
"261",261,1998,"EVER",1,-1,0
"262",262,1998,"EVER",2,-1,0
"263",263,1998,"EVER",2,-1,0
"264",264,1998,"EVER",2,-1,0
"265",265,1998,"EVER",2,-1,0
"266",266,1998,"EVER",2,-1,0
"267",267,1998,"EVER",3,-1,0
"268",268,1998,"EVER",1,-1,0
"269",269,1998,"EVER",2,-1,0
"270",270,1998,"EVER",3,-1,0
"271",271,1998,"EVER",1,-1,0
"272",272,1998,"EVER",3,-1,0
"273",273,1998,"EVER",2,-1,0
"274",274,1998,"EVER",3,-1,0
"275",275,1998,"EVER",1,-1,0
"276",276,1998,"EVER",3,-1,0
"277",277,1998,"EVER",2,-1,0
"278",278,1998,"EVER",3,-1,0
"279",279,1998,"EVER",2,-1,0
"280",280,1998,"EVER",2,-1,0
"281",281,1998,"EVER",2,-1,0
"282",282,1998,"EVER",1,-1,0
"283",283,1998,"EVER",1,-1,0
"284",284,1998,"EVER",2,-1,0
"285",285,1998,"EVER",1,-1,0
"286",286,1998,"EVER",2,-1,0
"287",287,1998,"EVER",2,-1,0
"288",288,1998,"EVER",2,-1,0
"289",289,1998,"EVER",1,-1,0
"290",290,1998,"EVER",2,-1,0
"291",291,1998,"EVER",1,-1,0
"292",292,1998,"EVER",1,-1,0
"293",293,1998,"EVER",1,-1,0
"294",294,1998,"EVER",1,-1,0
"295",295,1998,"EVER",1,-1,0
"296",296,1998,"EVER",2,-1,0
"297",297,1998,"EVER",2,-1,0
"298",298,1998,"EVER",2,-1,0
"299",299,1998,"EVER",2,-1,0
"300",300,1998,"EVER",2,-1,0
